image,rule_group,whiteness,edge,color,horizontal,texture
E:\RC11\term 2\draft\3.1\G1_structural_design\4bc694f8d5.jpg,1,0.789276302,0.122328162,0.004417183,0.499867469,0.003787897
E:\RC11\term 2\draft\3.1\G1_structural_design\4c895109e5.jpg,1,0.885731518,0.113609239,0.003938136,0.500703216,0.001427222
E:\RC11\term 2\draft\3.1\G1_structural_design\4cb3992645.jpg,1,0.742877901,0.132967457,0.013669498,0.491419882,0.003764414
E:\RC11\term 2\draft\3.1\G1_structural_design\4dbcdea9c9.jpg,1,0.574854791,0.161608174,0.00013652,0.487850547,0.00185049
E:\RC11\term 2\draft\3.1\G1_structural_design\4e37788a64.jpg,1,0.613167465,0.111517094,0.001095054,0.515883505,0.001441851
E:\RC11\term 2\draft\3.1\G1_structural_design\4f6242bbe1.jpg,1,0.698255599,0.157580316,0.008142587,0.512842834,0.003155877
E:\RC11\term 2\draft\3.1\G1_structural_design\512c5a7bf4.jpg,1,0.801994264,0.060924016,0.026334785,0.51260376,0.000472772
E:\RC11\term 2\draft\3.1\G1_structural_design\5219692962.jpg,1,0.851409435,0.155278638,0.008098907,0.501520514,0.002201859
E:\RC11\term 2\draft\3.1\G1_structural_design\534baa2a79.jpg,1,0.857904613,0.092138872,0.000638253,0.493465275,0.001653606
E:\RC11\term 2\draft\3.1\G1_structural_design\53b0ed3515.jpg,1,0.889256477,0.062138353,0.001763193,0.510145009,0.00087784
E:\RC11\term 2\draft\3.1\G1_structural_design\54d3c77796.jpg,1,0.830480158,0.12513037,0.005293207,0.493967324,0.001482853
